team,opponent_form,team_form,opponent_score,team_score,result
PSG,0.30978785920909924,0.8860934353132082,1,1,2
PSG,0.2900455319624369,0.1966535849529587,0,2,1
PSG,0.8714140341908543,0.7374260857706773,1,1,2
PSG,0.672702994208898,0.28651954892712295,2,1,0
PSG,0.7966813971913723,0.8026403123529297,2,0,0
PSG,0.250467898792499,0.9972378999036027,0,1,1
PSG,0.6248740996069989,0.030026005329392813,2,0,0
PSG,0.5717459831437487,0.8973658657909319,1,0,0
PSG,0.8328303767882711,0.622630533598658,2,1,0
PSG,0.9060870604812605,0.9733826191648212,0,3,1
PSG,0.012156771477386807,0.4650095175264276,0,1,1
PSG,0.6740199190587927,0.8473879305713737,0,4,1
PSG,0.05183579911972902,0.06239406859827723,1,1,2
PSG,0.5488586650773559,0.3352790500782957,0,1,1
PSG,0.2876327290436782,0.06701653775120997,1,0,0
PSG,0.3067765995221412,0.9753431334790705,0,3,1
PSG,0.3529585034523566,0.8169739072718367,2,0,0
PSG,0.6212924490496101,0.8525474212459705,0,3,1
PSG,0.3340499656687692,0.9379652314338942,1,1,2
PSG,0.7326990505902804,0.08510348611978535,0,0,2
PSG,0.4045273855738697,0.38559759251333336,0,0,2
PSG,0.06835320030995862,0.07103488904400213,1,0,0
PSG,0.7837598424841072,0.21079310155002862,2,1,0
PSG,0.285758324592706,0.22936577703767236,0,1,1
PSG,0.43276687959926263,0.4691072110475787,1,1,2
PSG,0.6854438832219015,0.2685621674536426,3,0,0
PSG,0.332456157148712,0.10097810681776109,1,0,0
PSG,0.056585656146715624,0.1674910890941077,1,0,0
PSG,0.3739210470128136,0.14727556355209093,0,0,2
PSG,0.9444485826943034,0.9730767979122983,0,2,1
PSG,0.6417343972985582,0.7592925069184736,2,1,0
PSG,0.6714791486672069,0.967761465269562,1,2,1
PSG,0.6322821536376398,0.43974048650790853,1,2,1
PSG,0.1989921389594368,0.2783684816626566,0,1,1
PSG,0.41833386410228013,0.7982931972091867,1,4,1
PSG,0.7509397983633183,0.3262539180411468,3,1,0
PSG,0.10137289755315915,0.2993833737053483,0,0,2
PSG,0.27785277608971226,0.2325059922078312,0,0,2
PSG,0.2763191084658536,0.12967897822423535,3,0,0
PSG,0.432018927594506,0.25646306101676597,1,0,0
PSG,0.9803687409421851,0.3553197484738877,1,2,1
PSG,0.06750254668382194,0.6739942081457304,1,0,0
PSG,0.518700994380595,0.06256484221945158,0,0,2
PSG,0.17936468201221045,0.21050693966534295,0,1,1
PSG,0.9706765454097441,0.8090236402916764,4,1,0
PSG,0.1133035047274642,0.14692192358377076,0,0,2
PSG,0.40360100236159124,0.34264514652252154,0,0,2
PSG,0.7378849848346062,0.8646589218581401,0,2,1
PSG,0.7045544280274453,0.15492531114344266,2,0,0
PSG,0.42272863689393225,0.0827368356181899,0,0,2
PSG,0.34652416795271823,0.48453799508001083,1,1,2
PSG,0.39761237855287057,0.3024195112785364,0,1,1
PSG,0.2642762631586393,0.5634083644838541,0,0,2
PSG,0.2053329387067998,0.8038048904834751,0,1,1
PSG,0.48303969755889,0.13714848815274316,1,0,0
PSG,0.2685337560676073,0.580699084554285,0,1,1
PSG,0.2874616648972501,0.5055087603898639,0,3,1
PSG,0.6567560634745571,0.14407878601319957,1,1,2
PSG,0.9685373316998922,0.6239984855289824,0,2,1
PSG,0.6036372005593751,0.27364041786077165,1,0,0
PSG,0.07697946706496628,0.4878343185440125,0,2,1
PSG,0.07558361385406698,0.08227232427706188,0,0,2
PSG,0.951423220845566,0.45958405721362305,4,0,0
PSG,0.29729079030733363,0.3064634680428203,1,0,0
PSG,0.09206698608247543,0.8223812111853543,0,1,1
PSG,0.5990445871503816,0.05697872699736828,1,0,0
PSG,0.6236487782902661,0.41860727491832994,2,1,0
PSG,0.6485048201186882,0.458431424131438,1,0,0
PSG,0.2674020278575413,0.7250060762991187,0,1,1
PSG,0.015110684214475034,0.574287575090211,0,0,2
PSG,0.9650153694544719,0.667212337194181,3,0,0
PSG,0.2508930456911025,0.7770492856517561,0,1,1
PSG,0.6760262880525475,0.8622029736581888,3,0,0
PSG,0.7066298698787096,0.3138754967224705,0,0,2
PSG,0.6100074170794857,0.538022705363903,2,1,0
PSG,0.3129073942136482,0.8401080784391999,1,1,2
PSG,0.27109625376406576,0.9894511309650564,0,2,1
PSG,0.5976682827027031,0.8895193110437631,0,1,1
PSG,0.8660956336116915,0.3714672626243768,3,1,0
PSG,0.9467337289233956,0.19516651721865041,4,1,0
PSG,0.10590580440375763,0.4893925374065887,0,1,1
PSG,0.15482861259771985,0.7416414518360422,0,1,1
PSG,0.9447362587830797,0.4925690707532976,1,0,0
PSG,0.7365352283347926,0.4831808633136685,0,1,1
PSG,0.8829938248297731,0.8382304210818006,1,1,2
PSG,0.20263263413534316,0.36140377906718635,0,1,1
PSG,0.5875858711094019,0.8597946748116456,0,3,1
PSG,0.7011395944174736,0.40680480095172356,1,0,0
PSG,0.6801118854469727,0.3282331056783394,2,0,0
PSG,0.4081516908666981,0.453989911199699,1,0,0
PSG,0.015394891691308477,0.7624469586748684,0,0,2
PSG,0.5829260568042631,0.12600202786399428,1,2,1
PSG,0.25310153917960876,0.19641921587201738,1,1,2
PSG,0.45025424614289034,0.951444825663092,1,2,1
PSG,0.9575810150838173,0.17549162738135737,1,1,2
PSG,0.3990353176424347,0.5677273179310546,0,1,1
PSG,0.8398016066644267,0.5793144666619379,2,0,0
PSG,0.18854060574925113,0.4896244620502448,0,0,2
PSG,0.6724604980250288,0.6447452485768186,2,4,1
PSG,0.9770069544389435,0.22982672579761843,2,0,0
PSG,0.10189310087293679,0.5526622677767482,0,0,2
PSG,0.008319942227192012,0.37217325524689715,0,0,2
PSG,0.43358279263261434,0.661667259629189,1,2,1
PSG,0.0926254830513672,0.14122354337314946,0,0,2
PSG,0.7483843496762314,0.5708774168394762,0,0,2
PSG,0.9145486638485589,0.1852703553833237,2,0,0
PSG,0.43402097270875883,0.2786430631150364,2,2,2
PSG,0.25871164215544096,0.21870980032358323,0,0,2
